source_record_id,scientific_name,common_name,normalized_scientific,normalized_common
"openfarm:frangula-sphaerosperma:west-indian-buckthorn:39321","Frangula sphaerosperma","West Indian buckthorn","frangula sphaerosperma","west indian buckthorn"
"openfarm:castilleja-ornata:glowing-indian-paintbrush:17205","Castilleja ornata","glowing Indian paintbrush","castilleja ornata","glowing indian paintbrush"
"openfarm:spirodela-intermedia:unknown:84974","Spirodela intermedia","","spirodela intermedia",""
"openfarm:lampranthus-salicolus:unknown:50504","Lampranthus salicolus","","lampranthus salicolus",""
"openfarm:nemacaulis-denudata-denudata:cottonheads:60784","Nemacaulis denudata var. denudata","cottonheads","nemacaulis denudata","cottonheads"
"openfarm:eunotia-trinacrina-trinarcina:unknown:36972","Eunotia trinacrina var. trinarcina","","eunotia trinacrina",""
"openfarm:navicula-menisculus-obtusa:unknown:60486","Navicula menisculus var. obtusa","","navicula menisculus",""
"openfarm:allium-lusitanicum:unknown:3839","Allium lusitanicum","","allium lusitanicum",""
"openfarm:salacia-dentata:unknown:78884","Salacia dentata","","salacia dentata",""
"openfarm:chamaerops:unknown:18787","Chamaerops","","chamaerops",""
"openfarm:lactuca-dissecta:unknown:50130","Lactuca dissecta","","lactuca dissecta",""
"openfarm:schoenocaulon-dubium:florida-feathershank:80630","Schoenocaulon dubium","Florida feathershank","schoenocaulon dubium","florida feathershank"
"openfarm:eragrostis-nindensis:unknown:33344","Eragrostis nindensis","","eragrostis nindensis",""
"openfarm:kiwifruit:unknown:49609","Kiwifruit (Actinida spp.; Actinidiaceae)","","kiwifruit",""
"openfarm:care-baileyi:bailey-sedge:15973","Carex baileyi","Bailey's sedge","care baileyi","bailey sedge"
"openfarm:platycaulos-depauperatus:unknown:70403","Platycaulos depauperatus","","platycaulos depauperatus",""
"openfarm:petradoria-pumila:grassy-rockgoldenrod-rock-goldenrod:67417","Petradoria pumila","grassy rockgoldenrod, rock goldenrod","petradoria pumila","grassy rockgoldenrod rock goldenrod"
"openfarm:haworthia-reinwardtii:unknown:43399","Haworthia reinwardtii","","haworthia reinwardtii",""
"openfarm:notholaena-copelandii:copeland-cloak-fern:61755","Notholaena copelandii","Copeland's cloak fern","notholaena copelandii","copeland cloak fern"
"openfarm:corallocarpus-welwitschii:unknown:23065","Corallocarpus welwitschii","","corallocarpus welwitschii",""
"openfarm:grimmia-hartmanii-hartmanii:unknown:42245","Grimmia hartmanii var. hartmanii","","grimmia hartmanii",""
"openfarm:rudbeckia-triloba:three-leaved-coneflower:78042","Rudbeckia triloba","Three-leaved Coneflower","rudbeckia triloba","three leaved coneflower"
"openfarm:hedysarum-boreale-mackenzei:unknown:43636","Hedysarum boreale var. mackenzei","","hedysarum boreale",""
"openfarm:laminaria-solidungula:unknown:50298","Laminaria solidungula","","laminaria solidungula",""
"openfarm:amphisolenia-thrinax:unknown:5381","Amphisolenia thrinax","","amphisolenia thrinax",""
"openfarm:gyrocarpus-americanus:propeller-tree-shitwood-girocarpo-pukovili:42733","Gyrocarpus americanus","propeller tree, shitwood, girocarpo, pukovili","gyrocarpus americanus","propeller shitwood girocarpo pukovili"
"openfarm:osmanthus-heterophyllus:holly-olive-false-holly-chinese-olive-holly-osmanthus:63590","Osmanthus heterophyllus","holly olive, false holly, Chinese olive, holly osmanthus","osmanthus heterophyllus","holly olive false holly chinese olive holly osmanthus"
"openfarm:arnica-lessingii:nodding-arnica:8164","Arnica lessingii","nodding arnica","arnica lessingii","nodding arnica"
"openfarm:pinnularia-microstauron-biundulata:unknown:69429","Pinnularia microstauron var. biundulata","","pinnularia microstauron",""
"openfarm:arnica-longifolia:spearleaf-arnica-longleaf-arnica:8168","Arnica longifolia","spearleaf arnica, longleaf arnica","arnica longifolia","spearleaf arnica longleaf arnica"
"openfarm:euastrum-crassicolle:unknown:36207","Euastrum crassicolle","","euastrum crassicolle",""
"openfarm:avicennia-africana:mangrove:10848","Avicennia africana","mangrove","avicennia africana","mangrove"
"openfarm:ayenia-euphrasiifolia:eyebright-ayenia:10898","Ayenia euphrasiifolia","eyebright ayenia","ayenia euphrasiifolia","eyebright ayenia"
"openfarm:ranunculus-adoneus:alpine-buttercup-ranunculo-dos-alpes:75265","Ranunculus adoneus","alpine buttercup, ranunculo dos Alpes","ranunculus adoneus","alpine buttercup ranunculo dos alpes"
"openfarm:ischaemum-muticum:unknown:48135","Ischaemum muticum","","ischaemum muticum",""
"openfarm:eriogonum-batemannii:unknown:35011","Eriogonum batemannii","","eriogonum batemannii",""
"openfarm:festuca-hawaiiensis:hawai-fescue:38322","Festuca hawaiiensis","Hawai'i fescue","festuca hawaiiensis","hawai fescue"
"openfarm:clematis-occidentalis-occidentalis:western-blue-virginsbower:21066","Clematis occidentalis var. occidentalis","western blue virginsbower","clematis occidentalis","western blue virginsbower"
"openfarm:acmadenia-tetragona:unknown:1685","Acmadenia tetragona","","acmadenia tetragona",""
